Index,Name,OVR,Position,Alternative positions,Age,Nation,League,Team
13158,Khaled Al Subaie,60,CM,"LB, CDM",24,Saudi Arabia,ROSHN Saudi League,Al Raed
13159,Ali Al Zaqan,60,RM,"LM, RW",33,Saudi Arabia,ROSHN Saudi League,Al Riyadh
13160,Ethan Alagich,60,CDM,"CM, CAM",20,Australia,A-League,Adelaide United
13161,Scott Allardice,60,CDM,CM,26,Scotland,Scottish Prem,Ross County
13162,Ruben Alte,60,CM,,24,Norway,Eliteserien,Kristiansund BK
13163,César Álvarez,60,RB,,21,Spain,LALIGA HYPERMOTION,CD Tenerife
13164,Harry Amass,60,LB,,17,England,Premier League,Man Utd
13165,Lorenzo Amatucci,60,CDM,CM,20,Italy,Serie BKT,Salernitana
13166,Kofi Jeremy Amoako,60,CDM,,19,Germany,3. Liga,VfL Osnabrück
13167,An Byong Jun,60,ST,,34,Korea DPR,K League 1,Suwon FC
13168,Brian Andrada,60,LM,"RM, ST, LW",27,Argentina,Sudamericana,S. Trinidense
13169,Josh Andrews,60,ST,,22,England,EFL League Two,Gillingham
13170,David Ankeye,60,ST,,22,Nigeria,Serie A Enilive,Genoa
13171,Marius Antoche,60,CB,,32,Romania,SUPERLIGA,Unirea Slobozia
13172,Georgios Antzoulas,60,CB,,24,Greece,Finnliiga,HJK Helsinki
13173,Sergio,60,GK,,19,Spain,LALIGA HYPERMOTION,CD Tenerife
13174,Pablo Aranda,60,RB,"CB, LB",23,Argentina,Sudamericana,S. Ameliano
13175,Ayman,60,ST,,19,Morocco,LALIGA HYPERMOTION,SD Huesca
13176,Hodei Arrillaga,60,LB,,20,Spain,LALIGA HYPERMOTION,SD Eibar
13177,Jude Arthurs,60,CM,,23,England,EFL League Two,Bromley FC
13178,Ossama Ashley,60,CDM,CM,24,England,EFL League Two,Salford City
13179,Ravve Assayeg,60,ST,,23,Israel,PKO BP Ekstraklasa,Stal Mielec
13180,David Atanaskoski,60,LB,,27,North Macedonia,SUPERLIGA,Politehnica Iași
13181,Abdulquddus Attiah,60,GK,,27,Saudi Arabia,ROSHN Saudi League,Al Taawoun
13182,Taha Ayari,60,LM,"CAM, LW",19,Sweden,Allsvenskan,AIK
13183,Onurhan Babuşcu,60,CAM,,21,Turkey,Ö. Bundesliga,TSV Hartberg
13184,Nicola Bagnolini,60,GK,,20,Italy,Serie A Enilive,Bologna
13185,Matt Baker,60,CB,,21,Wales,EFL League Two,Newport County
13186,Erick,60,CDM,RB,20,Brazil,1A Pro League,Cercle Brugge
13187,Ben Barclay,60,CB,,27,England,EFL League Two,Carlisle United
13188,Dan Barden,60,GK,,23,Wales,EFL League Two,Swindon Town
13189,Lachlan Barr,60,CB,,29,Australia,A-League,Perth Glory
13190,Felipe Barrientos,60,RW,RM,27,Chile,Libertadores,Cobresal
13191,Kaare Barslund,60,CB,CM,20,Denmark,Allsvenskan,Brommapojkarna
13192,Teddy Bartouche-Selbonne,60,GK,,27,France,Ligue 2 BKT,En Avant Guingamp
13193,Josh Bauer,60,CB,,26,United States,MLS,Nashville SC
13194,Simon Becher,60,ST,,25,United States,MLS,St. Louis CITY SC
13195,Edvin Becirovic,60,LM,"RM, LW",24,Sweden,Allsvenskan,GAIS
13196,Yassin Belkhdim,60,CM,,22,France,Ligue 1 McDonald's,Angers SCO
13197,Jamir Berdecio,60,RB,CDM,22,Bolivia,MLS,Philadelphia
13198,Tom Berger,60,CM,CDM,23,Germany,3. Liga,Dynamo Dresden
13199,Albin Berisha,60,ST,,23,Kosovo,3. Liga,FC Hansa Rostock
13200,Medon Berisha,60,CM,,20,Albania,Serie A Enilive,Lecce
13201,Gijs Besselink,60,CDM,CM,20,Holland,Eredivisie,FC Twente
13202,Bi Jinhao,60,CB,ST,33,China PR,CSL,Shandong Taishan
13203,Bartosz Biedrzycki,60,LM,"LB, LW",21,Poland,PKO BP Ekstraklasa,Cracovia
13204,Benjamin Boakye,60,LW,"RW, LM",19,Germany,3. Liga,VfB Stuttgart II
13205,Maurice Boakye,60,ST,LW,20,Germany,3. Liga,VfB Stuttgart II
13206,Elias Bördner,60,GK,,22,Germany,3. Liga,Aleman. Aachen
13207,Ricky Bornschein,60,ST,,24,Germany,3. Liga,FC Erzgebirge Aue
13208,Edoardo Borrelli,60,GK,,20,Italy,Serie BKT,Catanzaro
13209,Rodrigo Borzone,60,GK,,19,Argentina,Libertadores,Estudiantes
13210,Giuseppe Bovalina,60,RB,,19,Australia,MLS,Whitecaps FC
13211,Seán Boyd,60,ST,,26,Republic of Ireland,SSE Airtricity PD,Shelbourne
13212,Andy Boyle,60,CB,,33,Republic of Ireland,SSE Airtricity PD,Dundalk
13213,Alejandro Bran,60,CDM,CM,23,Costa Rica,MLS,Minnesota United
13214,Ethan Brierley,60,CM,CDM,20,England,Premier League,Brentford
13215,Heine Gikling Bruseth,60,CM,,20,Norway,MLS,Orlando City
13216,Mohammed Bu Sanda,60,GK,,29,United Arab Emirates,United Emirates League,Al Ain FC
13217,Tarek Buchmann,60,CB,,19,Germany,Bundesliga,FC Bayern München
13218,Adrian Bukowski,60,CDM,,21,Poland,PKO BP Ekstraklasa,Stal Mielec
13219,Stijn Bultman,60,CB,,19,Holland,Eredivisie,Heracles Almelo
13220,Abdulsamet Burak,60,CB,"CDM, LB",28,Turkey,Trendyol Süper Lig,Adana Demirspor
13221,Sean Busch,60,ST,,20,Germany,3. Liga,Hannover 96 II
13222,Jens Buss,60,LB,RB,27,Chile,Libertadores,Cobresal
13223,Jack Bycroft,60,GK,,22,England,EFL League Two,Swindon Town
13224,Cai Huikang,60,CDM,CM,34,China PR,CSL,Shanghai Port FC
13225,Calderón,60,LB,LM,24,Spain,LALIGA HYPERMOTION,Córdoba CF
13226,Davis Camacho,60,CDM,,26,Ecuador,Sudamericana,Técnico U.
13227,Sekou Camara,60,ST,"RW, RM",27,Guinea,SUPERLIGA,Unirea Slobozia
13228,Axel Cañete,60,RB,CB,22,Paraguay,Sudamericana,S. Trinidense
13229,Milton Cantero,60,CM,,20,Argentina,Sudamericana,Racing Club
13230,Juan David Carabalí,60,ST,,21,Colombia,Sudamericana,Deportes Tolima
13231,Gonçalo Teixeira,60,LW,"ST, LM",24,Portugal,SUPERLIGA,Politehnica Iași
13232,Jake Carroll,60,LB,CB,33,Republic of Ireland,SSE Airtricity PD,Bohemians
13233,Carlo Casap,60,CM,,25,Romania,SUPERLIGA,Farul Constanța
13234,Leonardo Cerri,60,ST,,21,Italy,Serie BKT,Carrarese Calcio
13235,Ertuğrul Çetin,60,GK,,21,Turkey,Trendyol Süper Lig,Fenerbahçe
13236,Benjamín Chandía,60,LM,"LW, CAM",21,Chile,Sudamericana,Coquimbo Unido
13237,Ashley Charles,60,CDM,CM,25,Grenada,EFL League Two,Bromley FC
13238,Pierce Charles,60,GK,,19,Northern Ireland,EFL Championship,Sheffield Wed
13239,Kegs Chauke,60,CM,CDM,21,South Africa,EFL League One,Burton Albion
13240,Ivane Chegra,60,RM,"CAM, RW",20,Algeria,Ligue 2 BKT,AC Ajaccio
13241,Chen Po Liang,60,CM,CDM,36,Chinese Taipei,CSL,Qingdao W. Coast
13242,Chen Wei,60,GK,,26,China PR,CSL,Shanghai Port FC
13243,Mohamed Cherif,60,CDM,CM,18,Guinea,3F Superliga,Sønderjyske
13244,Ange Chibozo,60,CAM,LM,21,Benin,Ligue 2 BKT,Amiens SC
13245,Choi Young Eun,60,GK,,28,Korea Republic,K League 1,Daegu FC
13246,Kacper Chorążka,60,GK,,25,Poland,SSE Airtricity PD,Bohemians
13247,Harry Christy,60,GK,,20,England,EFL Championship,Leeds United
13248,Paweł Chrupałła,60,RM,RW,21,Poland,Eliteserien,Sarpsborg 08
13249,Giuseppe Ciocci,60,GK,,22,Italy,Serie A Enilive,Cagliari
13250,James Clarke,60,CB,,34,England,EFL League Two,Newport County
13251,Mika Clausen,60,CAM,"CM, RW",22,Germany,3. Liga,FC Erzgebirge Aue
13252,Reyes Cleary,60,ST,,20,England,EFL League Two,Walsall
13253,Ionuț Cojocaru,60,RW,"LW, RM",21,Romania,SUPERLIGA,Farul Constanța
13254,Joel Coleman,60,GK,,28,England,EFL League One,Bolton
13255,Pietro Comuzzo,60,CB,,19,Italy,Serie A Enilive,Fiorentina
13256,Seámus Conneely,60,CDM,CM,36,Republic of Ireland,EFL League Two,Accrington
13257,Bambasé Conté,60,LM,"RM, LW",21,Germany,Bundesliga 2,Karlsruher SC
13258,Ali Coote,60,CAM,"RM, LM",26,Scotland,SSE Airtricity PD,Shelbourne
13259,Rob Cornwall,60,CB,,29,Republic of Ireland,SSE Airtricity PD,Bohemians
13260,Carlos Cortés,60,ST,,22,Colombia,Sudamericana,Deportes Tolima
13261,Ronan Coughlan,60,ST,LW,27,Republic of Ireland,EFL League Two,Fleetwood Town
13262,Esteban Crucci,60,ST,LW,18,Uruguay,Sudamericana,Wanderers
13263,Jaka Čuber Potočnik,60,ST,,19,Slovenia,Bundesliga 2,1. FC Köln
13264,Augusto Dabó,60,LB,,21,Guinea-Bissau,Liga Portugal,Boavista FC
13265,Emanuel Dall'Aglio,60,CB,,19,Argentina,Libertadores,Estudiantes
13266,Prabir Das,60,RB,"RM, LB",30,India,ISL,Kerala Blasters
13267,Josh Davison,60,ST,,24,England,EFL League Two,Tranmere Rovers
13268,Tom de Graaff,60,GK,,19,Holland,Eredivisie,FC Utrecht
13269,Luca de Meester,60,RM,RW,20,Germany,3. Liga,Viktoria Köln
13270,Celestin De Schrevel,60,GK,,22,Belgium,1A Pro League,KAA Gent
13271,Ramiro Degregorio,60,RW,RM,21,Argentina,Sudamericana,Racing Club
13272,Laurenz Dehl,60,CAM,,22,Germany,Ö. Bundesliga,Austria Klagenfurt
13273,Thibault Delphis,60,RB,CB,21,France,Ligue 2 BKT,FC Annecy
13274,Ali Bina Dembélé,60,RB,,20,France,Serie A Enilive,Torino
13275,Ali Demirel,60,CAM,,21,Turkey,Trendyol Süper Lig,Kasımpaşa
13276,Justin Devenny,60,CM,,20,Northern Ireland,Premier League,Crystal Palace
13277,Miguel Di Pizio,60,CAM,LM,18,Australia,A-League,Central Coast
13278,Tidiane Diallo,60,LM,"CAM, LW",18,France,Ligue 1 McDonald's,Strasbourg
13279,Baïla Diallo,60,LB,LM,23,Senegal,Ligue 2 BKT,Clermont Foot 63
13280,Sadou Diallo,60,CDM,CM,25,England,SSE Airtricity PD,Derry City
13281,Bruno Diaz,60,CAM,RM,19,Paraguay,Sudamericana,Guaraní
13282,Ionuț Dinu,60,CB,,26,Romania,SUPERLIGA,Unirea Slobozia
13283,Ivan Djantou,60,ST,,22,Cameroon,3F Superliga,Sønderjyske
13284,Ross Docherty,60,CDM,CM,31,Scotland,Scottish Prem,Dundee United
13285,Jhojan Domínguez,60,LW,"LB, LM",24,Peru,Sudamericana,ADT
13286,Domi,60,ST,,20,Spain,LALIGA EA SPORTS,Valencia CF
13287,Dong Yu,60,RB,,30,China PR,CSL,Zhejiang Pro
13288,Chris Donovan,60,ST,,24,United States,MLS,Philadelphia
13289,Declan Drysdale,60,CB,,24,England,EFL League Two,Tranmere Rovers
13290,Dennis Duah,60,CB,"LB, RB",21,Germany,3. Liga,Dynamo Dresden
13291,Dylan Duffy,60,LM,"LW, ST",21,Republic of Ireland,EFL League One,Lincoln City
13292,Adrian Durrer,60,CB,CDM,23,Switzerland,CSSL,FC Winterthur
13293,Eldin Dzogovic,60,RB,CB,21,Luxembourg,Bundesliga 2,1. FC Magdeburg
13294,Jake Eastwood,60,GK,,27,England,EFL League Two,Grimsby Town
13295,Michee Efete,60,RB,CB,27,Congo DR,Scottish Prem,Ross County
13296,Soufiane El-Faouzi,60,CAM,CM,22,Germany,3. Liga,Aleman. Aachen
13297,Frederik Elkær,60,LB,LM,22,Denmark,Eliteserien,Lillestrøm SK
13298,Florian Engelhardt,60,CDM,RM,21,Germany,3. Liga,Viktoria Köln
13299,Eo Jeong Won,60,LB,CB,25,Korea Republic,K League 1,Pohang Steelers
13300,Ali Eren Ersungur,60,CAM,CM,18,Turkey,Bundesliga 2,Karlsruher SC
13301,Lucas Escobar,60,GK,,22,Argentina,Sudamericana,Defensa
13302,Jeannot Esua,60,RB,,28,Cameroon,SSE Airtricity PD,Galway United
13303,Ludéric Etonde,60,ST,,24,France,Ligue 2 BKT,USL Dunkerque
13304,Owen Evans,60,GK,,27,Wales,EFL League Two,Cheltenham Town
13305,Gísli Eyjólfsson,60,CM,,30,Iceland,Allsvenskan,Halmstads BK
13306,Juan Familia-Castillo,60,LB,,24,Holland,Eredivisie,RKC Waalwijk
13307,Fang Jingqi,60,GK,,31,China PR,CSL,Tianjin JMT FC
13308,Lamine Fanne Dabo,60,CDM,,20,Spain,Allsvenskan,AIK
13309,Amar Ahmed Fatah,60,LM,LW,20,Sweden,Ligue 2 BKT,ESTAC Troyes
13310,Rory Feely,60,CB,RB,27,Republic of Ireland,EFL League Two,Barrow
13311,Feng Zhuoyi,60,CM,CDM,35,China PR,CSL,Rongcheng FC
13312,Marcelo Fernández,60,LM,"ST, LW",22,Paraguay,Libertadores,Libertad
13313,Marcos,60,ST,,19,Spain,LALIGA HYPERMOTION,R. Sporting
13314,Rafael Ferrario,60,GK,,24,Argentina,Primera División,Barracas Central
13315,Alin Fică,60,CM,RW,23,Romania,SUPERLIGA,CFR 1907 Cluj
13316,Maximilian Fillafer,60,RM,RW,19,Austria,Ö. Bundesliga,TSV Hartberg
13317,Scott Flinders,60,GK,,38,England,EFL League One,Mansfield Town
13318,Moritz Flotho,60,ST,,22,Germany,3. Liga,Wehen Wiesbaden
13319,Taylor Foran,60,CB,,20,England,EFL League Two,Bromley FC
13320,Juan Foronda,60,GK,,28,Bolivia,Sudamericana,Universitario
13321,Fraga,60,GK,,21,Spain,LALIGA EA SPORTS,Real Sociedad
13322,Alex Franco,60,RM,"CM, RW",23,Paraguay,Sudamericana,Olimpia
13323,Victor Froholdt,60,CM,LW,18,Denmark,3F Superliga,F.C. København
13324,Rory Gaffney,60,ST,,34,Republic of Ireland,SSE Airtricity PD,Shamrock Rovers
13325,Paolo Garcia,60,GK,,22,Bolivia,Sudamericana,Universitario
13326,Marcel Gąsior,60,CDM,CM,30,Poland,PKO BP Ekstraklasa,Motor Lublin
13327,Fryderyk Gerbowski,60,CM,"RM, RB",21,Poland,PKO BP Ekstraklasa,Stal Mielec
13328,Ciaran Gilligan,60,CM,CDM,22,Republic of Ireland,EFL League One,Burton Albion
13329,Jason Gnakpa,60,CDM,CB,20,France,CSSL,Yverdon Sport FC
13330,Josh Gordon,60,ST,,29,England,EFL League Two,Walsall
13331,Matteo Grandi,60,GK,,31,Italy,Serie A Enilive,Venezia
13332,Leon Grgić,60,ST,,18,Austria,Ö. Bundesliga,SK Sturm Graz
13333,Shane Griffin,60,CB,LB,30,Republic of Ireland,SSE Airtricity PD,Shelbourne
13334,Daniel Azevedo,60,GK,,26,Portugal,Liga Portugal,Casa Pia AC
13335,Tom Grivosti,60,CB,,25,England,SSE Airtricity PD,St. Pats
13336,Gu Bin,60,CM,CDM,32,China PR,CSL,Zhejiang Pro
13337,Javier Guerra,60,RB,RM,20,Bolivia,Sudamericana,Nacional Potosí
13338,Michał Gurgul,60,CB,LB,18,Poland,PKO BP Ekstraklasa,Lech Poznań
13339,Szilárd Gyenge,60,GK,,23,Romania,SUPERLIGA,Sepsi OSK
13340,Justin Haak,60,CB,"CDM, CM",23,United States,MLS,New York City FC
13341,Antwoine Hackford,60,ST,,20,England,EFL League Two,Port Vale
13342,Bakary Haidara,60,CB,,19,Côte d'Ivoire,1A Pro League,KVC Westerlo
13343,Julian Halwachs,60,CDM,,21,Austria,Ö. Bundesliga,TSV Hartberg
13344,Ezequiel Ham,60,CM,CDM,30,Syria,Primera División,Ind. Rivadavia
13345,Jack Hamilton,60,GK,,30,Scotland,Scottish Prem,Ross County
13346,Hamza Haoudi,60,LW,"CM, LM",23,Italy,Serie BKT,Frosinone
13347,Sam Hart,60,LB,CB,28,England,EFL League Two,Port Vale
13348,Oliver Hawkins,60,ST,CB,32,England,EFL League Two,Gillingham
13349,Abdulelah Hawsawi,60,CM,,23,Saudi Arabia,ROSHN Saudi League,Al Ittihad
13350,He Yupeng,60,RB,LB,24,China PR,CSL,Beijing FC
13351,Lucas Hedlund,60,ST,,26,Sweden,Allsvenskan,GAIS
13352,Konstantin Heide,60,GK,,18,Germany,3. Liga,Unterhaching
13353,Tim Heike,60,ST,RM,24,Germany,3. Liga,FC Ingolstadt 04
13354,Bryan Hein,60,LB,LM,22,Germany,Bundesliga 2,Jahn Regensburg
13355,Matías Hernandez,60,ST,,19,Argentina,Libertadores,San Lorenzo
13356,Mateo Hernández,60,CM,RM,25,Argentina,Sudamericana,Real Tomayapo
13357,Elvis Hernández,60,CB,,24,Argentina,Sudamericana,Coquimbo Unido
13358,Alexander Hernández,60,CM,,20,Uruguay,Sudamericana,Racing Club
13359,Daniel Herrera,60,CB,RB,20,Argentina,Libertadores,San Lorenzo
13360,David Hickson,60,LB,RB,27,Norway,Eliteserien,KFUM-Kameratene
13361,Marino Hinestroza,60,LW,"CAM, LM",22,Colombia,Liga Colombia,Atl. Nacional
13362,Jens Hjertø-Dahl,60,CM,,18,Norway,Eliteserien,Tromsø IL
13363,Jannik Hofmann,60,RB,"RM, RW",22,Germany,Bundesliga 2,1. FC Nürnberg
13364,Corey Hollman,60,CDM,,20,Australia,A-League,Sydney FC
13365,Josh Honohan,60,CB,"LB, RB",23,Republic of Ireland,SSE Airtricity PD,Shamrock Rovers
13366,Grant Horton,60,CB,RB,23,England,SSE Airtricity PD,Waterford
13367,Mark Howard,60,GK,,37,England,EFL League One,Wrexham
13368,Sam Howes,60,GK,,26,England,EFL League One,Leyton Orient
13369,Šimun Hrgović,60,LB,LM,20,Croatia,Liga Hrvatska,Hajduk Split
13370,Hu Jiali,60,CDM,CM,25,China PR,CSL,Cangzhou FC
13371,Kyle Hudlin,60,ST,,24,England,EFL League Two,Newport County
13372,Ben Hüning,60,CB,,19,Germany,3. Liga,B. Dortmund II
13373,Ashley Hunter,60,LM,LW,28,England,EFL League Two,Accrington
13374,Kyle Hurst,60,LM,LW,22,England,EFL League Two,Doncaster
13375,Reece Hutchinson,60,LB,,24,England,SSE Airtricity PD,Sligo Rovers
13376,Nathan Huygevelde,60,CM,CAM,20,Belgium,1A Pro League,KV Kortrijk
13377,Luka Hyryläinen,60,CDM,CM,20,Finland,Bundesliga 2,SSV Ulm 1846
13378,Mehmet Ibrahimi,60,CAM,RM,21,Germany,Ö. Bundesliga,Blau-Weiss Linz
13379,Luis Idjakovic,60,GK,,22,Germany,3. Liga,SV Sandhausen
13380,Stanis Idumbo,60,CAM,"LM, RM",19,Belgium,LALIGA EA SPORTS,Sevilla FC
13381,Denys Ignatenko,60,GK,,21,Ukraine,Ukrayina Liha,Dynamo Kyiv
13382,Milan Iloski,60,ST,,25,United States,3F Superliga,FC Nordsjælland
13383,Joachim Imbrechts,60,GK,,22,Sweden,1A Pro League,R. Union St.-G.
13384,Felix Irorere,60,CB,,22,Germany,3. Liga,B. Dortmund II
13385,Baptiste Isola,60,CDM,CM,23,France,Ligue 2 BKT,Grenoble Foot 38
13386,Jacob Jackson,60,GK,,24,United States,MLS,SJ Earthquakes
13387,Imam Jagne,60,CM,,20,Sweden,Allsvenskan,Mjällby AIF
13388,Andres Jasson,60,RM,"LM, RB, RW",22,United States,3F Superliga,AaB
13389,Lenn Jastremski,60,ST,,23,Germany,3. Liga,Unterhaching
13390,Håvar Grøntvedt Jenssen,60,GK,,28,Norway,Eliteserien,Fredrikstad FK
13391,Jeon Jin Woo,60,LM,"LW, CAM",25,Korea Republic,K League 1,Jeonbuk Hyundai
13392,Jeong Ji Yong,60,LM,"LW, ST",25,Korea Republic,K League 1,GwangJu FC
13393,Luke Jephcott,60,ST,,24,Wales,EFL League Two,Newport County
13394,Niklas Jessen,60,RB,CM,21,Germany,3. Liga,B. Dortmund II
13395,Ji Eon Hak,60,CAM,CM,30,Korea Republic,K League 1,Incheon United
13396,Lucas Hägg Johansson,60,GK,,30,Sweden,Allsvenskan,Brommapojkarna
13397,Carl Johnston,60,RB,LB,22,Northern Ireland,EFL League Two,Fleetwood Town
13398,Louis Jones,60,GK,,25,England,SSE Airtricity PD,Waterford
13399,Janis Juckel,60,CM,CDM,20,Germany,3. Liga,Energie Cottbus
13400,Junior Zé,60,LM,LW,18,Switzerland,CSSL,FC Basel 1893
13401,Ali Kabacalman,60,CDM,,28,Switzerland,CSSL,FC Sion
13402,Vishal Kaith,60,GK,,28,India,ISL,Mohun Bagan SG
13403,Sergio Kalaj,60,CB,,24,Albania,Serie BKT,Frosinone
13404,Berat Kalkan,60,LM,LW,21,North Macedonia,Trendyol Süper Lig,Kasımpaşa
13405,Yahya Kalley,60,LB,,23,Sweden,Allsvenskan,IFK Norrköping
13406,Jimmy Kaparos,60,CDM,CM,22,Holland,3. Liga,Rot-Weiss Essen
13407,Yusuf Karagöz,60,GK,,24,Turkey,Trendyol Süper Lig,Alanyaspor
13408,Hlynur Freyr Karlsson,60,CB,,20,Iceland,Allsvenskan,Brommapojkarna
13409,Markus Karlsson,60,RB,"CB, CDM",20,Sweden,Allsvenskan,Hammarby IF
13410,Al-Amin Kazeem,60,LB,,22,England,SSE Airtricity PD,St. Pats
13411,Fiacre Kelleher,60,CB,,28,Republic of Ireland,EFL League Two,Colchester
13412,Daniel Kelly,60,RM,"LM, RW",28,Republic of Ireland,SSE Airtricity PD,Derry City
13413,Jimmy Keohane,60,RB,"CM, LB",33,Republic of Ireland,SSE Airtricity PD,Galway United
13414,Maciej Kikolski,60,GK,,20,Poland,PKO BP Ekstraklasa,Radomiak Radom
13415,Kim Min Seok,60,LW,"RM, LM",22,Korea Republic,K League 1,Incheon United
13416,Kim Kyung Joon,60,ST,"RW, CAM",27,Korea Republic,K League 1,Gimcheon Sangmu
13417,Kim Gyeong Min,60,ST,RW,27,Korea Republic,K League 1,Gangwon FC
13418,Kim Ji Hyun,60,ST,"RW, LW",28,Korea Republic,K League 1,Ulsan Hyundai
13419,Benjamin Kimpioka,60,ST,,24,Sweden,Scottish Prem,St. Johnstone
13420,Rayan Kolli,60,ST,"LM, LW",19,Algeria,EFL Championship,QPR
13421,Hugo Komano,60,ST,,24,France,CSSL,Yverdon Sport FC
13422,Yunus Emre Konak,60,CDM,CM,18,Turkey,Premier League,Brentford
13423,Richard Koné,60,ST,,21,Côte d'Ivoire,EFL League One,Wycombe
13424,Koo Ja Cheol,60,CM,CAM,35,Korea Republic,K League 1,Jeju United
13425,Eray Korkmaz,60,RB,CB,21,Turkey,Trendyol Süper Lig,Çaykur Rizespor
13426,Kevin Kouassivi-Benissan,60,RB,RM,25,Finland,Finnliiga,HJK Helsinki
13427,Henri Koudossou,60,RM,"RB, RW",25,Germany,Bundesliga,FC Augsburg
13428,Albin Krasniqi,60,RW,"ST, RM",21,Switzerland,CSSL,FC Winterthur
13429,Jonas Krumrey,60,GK,,20,Germany,3F Superliga,Lyngby BK
13430,Kalifa Kujabi,60,CM,,24,Gambia,SUPERLIGA,FC Hermannstadt
13431,Dave Kwakman,60,CM,"CDM, CB",20,Holland,Eredivisie,AZ
13432,Max Lamby,60,LB,,21,Germany,3. Liga,Unterhaching
13433,Johan Lara,60,GK,,25,Ecuador,Sudamericana,U. Católica
13434,Juan Larios,60,LB,,20,Spain,Premier League,Southampton
13435,Gabriel Lazăr,60,CB,,33,Romania,SUPERLIGA,Unirea Slobozia
13436,Kian Leavy,60,CAM,"CM, RM",22,Republic of Ireland,SSE Airtricity PD,St. Pats
13437,Harry Lee,60,GK,,19,England,EFL League One,Exeter City
13438,Li Hong,60,CB,LB,31,China PR,CSL,Cangzhou FC
13439,Kristian Lien,60,ST,,22,Norway,Eliteserien,Kristiansund BK
13440,Marcus Linday,60,CM,,21,Sweden,Allsvenskan,Västerås SK
13441,Wojciech Lisowski,60,RB,CB,32,Poland,PKO BP Ekstraklasa,Pogoń Szczecin
13442,Liu Ruofan,60,ST,RM,25,China PR,CSL,Wuhan Three Towns
13443,George Lloyd,60,ST,,24,England,EFL League One,Shrewsbury
13444,Aboubacar Lô,60,CB,RB,24,Senegal,Ligue 2 BKT,FC Metz
13445,Kyran Lofthouse,60,RB,,23,England,EFL League One,Barnsley
13446,Albin Lohikangas,60,LB,,26,Sweden,Allsvenskan,IFK Värnamo
13447,Lorenzo Lonardi,60,CM,"CDM, CB",25,Italy,Serie BKT,Südtirol
13448,Alessandro Lopane,60,CM,"RM, LM",20,Australia,A-League,Melbourne City
13449,Joan López,60,GK,,22,Ecuador,Libertadores,IDV
13450,Carlos López,60,GK,,19,Spain,LALIGA HYPERMOTION,Málaga CF
13451,Evan Louro,60,GK,,28,United States,MLS,FC Cincinnati
13452,Donald Love,60,RB,CDM,29,Scotland,EFL League Two,Accrington
13453,Matty Lund,60,CM,CDM,33,Northern Ireland,EFL League Two,Salford City
13454,Alexander Lundin,60,GK,,31,Sweden,Allsvenskan,Mjällby AIF
13455,JJ Lunney,60,CM,CDM,26,Republic of Ireland,SSE Airtricity PD,Shelbourne
13456,Luo Xin,60,LB,"RB, CB",34,China PR,CSL,Nantong Zhiyun FC
13457,Alexander Lyng,60,RW,RM,19,Denmark,3F Superliga,Sønderjyske
13458,Othmane Maamma,60,RM,RW,18,Morocco,Ligue 1 McDonald's,Montpellier
13459,Lewis Macari,60,CB,RB,22,Scotland,EFL League Two,Notts County
13460,Shaun MacDonald,60,GK,,27,England,EFL League One,Exeter City
13461,Sebastian Madejski,60,GK,,27,Poland,PKO BP Ekstraklasa,Cracovia
13462,Mohammad Mahmoud,60,ST,,19,Germany,Bundesliga 2,SV Elversberg
13463,Archie Mair,60,GK,,23,Scotland,EFL Championship,Norwich
13464,Elias Maluvunu,60,RM,"LM, RW",20,Switzerland,CSSL,FC Winterthur
13465,Josh March,60,ST,,27,England,EFL League Two,Harrogate Town
13466,Max Marie,60,CAM,CM,19,Germany,Bundesliga 2,Braunschweig
13467,Carlos Marín,60,GK,,27,Spain,LALIGA HYPERMOTION,Córdoba CF
13468,Anthony Markanich,60,LB,LM,24,United States,MLS,Minnesota United
13469,Sascha Marquet,60,ST,,34,Germany,3. Liga,Aleman. Aachen
13470,José Martínes,60,ST,"RW, RM",21,Bolivia,Sudamericana,Always Ready
13471,João Peglow,60,LW,LM,22,Brazil,PKO BP Ekstraklasa,Radomiak Radom
13472,Keres Masangu,60,CDM,"CM, RB",24,Belgium,1A Pro League,FCV Dender EH
13473,Luke Matheson,60,RB,,21,England,EFL League One,Bolton
13474,Emmanuele Matino,60,CB,RB,25,Italy,Serie BKT,Bari
13475,Jamille Matt,60,ST,,34,Jamaica,EFL League Two,Walsall
13476,Iba May,60,CDM,"RB, CM",26,Germany,Ö. Bundesliga,Austria Klagenfurt
13477,Eliezer Mayenda,60,ST,,19,Spain,EFL Championship,Sunderland
13478,Adam McDonnell,60,CDM,,27,Republic of Ireland,SSE Airtricity PD,Bohemians
13479,Oisín McEntee,60,CDM,"CB, CM",23,Republic of Ireland,EFL League Two,Walsall
13480,Tom McGill,60,GK,,24,Canada,EFL League Two,MK Dons
13481,Sean McGurk,60,CAM,LM,21,England,EFL League Two,Swindon Town
13482,James McManus,60,CDM,,19,Republic of Ireland,SSE Airtricity PD,Bohemians
13483,Adedire Mebude,60,RW,RM,20,Scotland,1A Pro League,KVC Westerlo
13484,Henrik Meister,60,ST,,20,Denmark,Ligue 1 McDonald's,Stade Rennais FC
13485,Jorge Mejía,60,GK,,22,Bolivia,Sudamericana,Nacional Potosí
13486,Rodrigo Melgarejo,60,CB,,22,Paraguay,Libertadores,Cerro Porteño
13487,Marco Meli,60,CAM,RW,24,Italy,Serie BKT,SS Juve Stabia
